ev_id,trip_index,location_zone,location_type,arrival_min,departure_min,charged_kwh,deferrable_kwh,max_delay_min
551,0,1,W,474.8005603265306,1065,10.286616758884024,10.286616758884024,534.0906209886475
553,0,12,O,498.254664277551,688,11.584968813982929,11.584968813982929,126.55459673708754
554,1,17,H,1071.9764143346938,1440,1.3857661497420253,1.3857661497420253,356.47553441745595
556,1,11,H,1085.8302121734694,1440,8.843040287192895,8.843040287192895,280.4777854332565
559,0,18,W,466.7278903877551,1061,8.990553815133786,8.990553815133786,545.2327251660606
560,1,17,H,1057.8648100734695,1440,9.412468335224018,9.412468335224018,303.69795379966376
561,1,21,H,1050.0638697653062,1440,4.696865368641541,4.696865368641541,350.7955854960144
562,0,18,W,430.7226532,1045,10.292165663065317,10.292165663065317,558.1382613650983
563,1,9,H,824.9020305102041,1440,9.37519604716714,9.37519604716714,536.9713357634031
565,0,16,W,460.351914,1063,9.286727537037795,9.286727537037795,551.9932085252483
567,1,14,H,1056.614579265306,1440,0.9837702695410684,0.9837702695410684,375.1873351551851
572,0,13,O,595.9046186530612,865,11.951028523249615,11.951028523249615,203.90795303830453
573,1,21,H,1051.904979632653,1440,6.193823785197733,6.193823785197733,336.4798221573658
574,1,14,H,1083.7048934795919,1440,8.338358017322932,8.338358017322932,286.80878970938375
575,1,4,H,1029.6541808979591,1440,5.391286143575469,5.391286143575469,365.41843457224536
576,1,23,H,1312.800528,1440,3.0499549577053457,3.0499549577053457,101.7831806857887
578,0,18,W,466.7278903877551,1016,10.095719410092485,10.095719410092485,494.2045491935586
578,1,8,H,1039.7065750816328,1440,3.3340341804701428,3.3340341804701428,372.5098067477827
579,1,5,H,1185.5028571938776,1440,8.152879039507951,8.152879039507951,186.5564841435562
581,0,21,W,439.7541839285714,1039,9.942320273798126,9.942320273798126,545.0149782143478
582,1,1,H,1204.3426626285714,1440,12.110455854531224,12.110455854531224,134.73687191700174
583,0,11,O,733.9032723877551,1015,9.374681619410657,9.374681619410657,229.96210059727764
583,1,8,H,1033.905066510204,1440,2.5272004000063895,2.5272004000063895,385.0349301564095
584,1,4,H,1052.172840367347,1440,5.048407243556598,5.048407243556598,345.7570992696815
585,1,13,H,1062.9747042612246,1440,7.8877117343832825,7.8877117343832825,311.29436461891464
586,0,19,W,458.69702045714286,1054,7.265775523614231,7.265775523614231,555.6714766867794
586,1,3,H,1076.724200334694,1440,3.3797884648547623,3.3797884648547623,335.11089579151644
587,1,12,H,797.8627462734694,1440,8.360847428017287,8.360847428017287,572.4635251597199
588,1,12,H,1024.403762,1440,5.44184112361253,5.44184112361253,370.24756196989574
590,1,8,H,1034.9123009183672,1440,6.7039515473624345,6.7039515473624345,349.22143618694577
591,1,22,H,1090.9219066122448,1440,9.284315387688682,9.284315387688682,271.7087984903494
592,1,19,H,1068.3067046979593,1440,8.396769556092176,8.396769556092176,301.7202156679393
593,1,4,H,1022.0023706122449,1440,5.261644149061228,5.261644149061228,374.1505948122449
594,1,4,H,1048.0116240816326,1440,8.122831685364016,8.122831685364016,324.29811187366727
597,0,17,O,1098.3107950408164,1257,7.277104981778956,7.277104981778956,118.995905058571
600,0,2,O,611.720423477551,825,7.768083864001884,7.768083864001884,170.9082099915297
600,1,13,H,837.7213992,1440,1.9325953577712127,1.9325953577712127,586.1736394852398
603,1,15,H,590.051386,1440,1.7697680828153075,1.7697680828153075,835.2005466432057
604,1,16,H,1047.7769505612246,1440,7.163605061278311,7.163605061278311,332.5263405947894
605,1,9,H,1221.3221400163266,1440,5.255170640666293,5.255170640666293,174.88477131145441
607,1,22,H,1052.0530467755102,1440,5.100843962289993,5.100843962289993,345.43992020540645
608,1,10,H,858.700957,1440,3.7563265964390027,3.7563265964390027,549.9963213630083
609,1,16,H,1076.3516893979593,1440,6.761451558028316,6.761451558028316,307.3028809518048
611,0,17,O,771.051942622449,897,13.225699288910851,9.864777896973495,53.807879438037276
612,1,6,H,1053.601481632653,1440,2.850763266613754,2.850763266613754,362.6421578122322
613,1,9,H,916.0412144,1440,9.811367408759496,9.811367408759496,442.19739052700425
614,1,11,H,1004.6011853061225,1440,5.977344062354106,5.977344062354106,385.5876141742599
616,0,22,W,490.6212735510204,1043,7.535429095290471,7.535429095290471,511.27638592921335
616,1,24,H,1055.6165242448978,1440,1.684754191291841,1.684754191291841,370.3438574943368
617,1,12,H,1070.9034328489795,1440,5.893913647618239,5.893913647618239,319.98062008753527
619,1,2,H,1090.3687161959183,1440,8.459247907635046,8.459247907635046,279.13755124045633
620,0,17,O,589.3214800163265,812,8.988591269034583,8.988591269034583,173.64984033439396
620,1,6,H,825.3222267591836,1440,2.0127677007324465,2.0127677007324465,597.904709068046
622,0,19,O,1128.9871750081634,1275,9.445227801984835,9.445227801984835,94.49340061737394
623,0,21,W,460.51131428571426,1063,7.466434051039663,7.466434051039663,561.762681799524
