ev_id,trip_index,fcs_zone,arrival_min,departure_min,charged_kwh,cost
1106,1,7,1323.360693942857,1332.5501221372513,13.989428194394275,5.595771277757713
1108,1,17,1064.0,1071.2111557656908,12.011155765690756,4.804462306276305
1113,0,6,437.0,446.0377730692685,13.837773069268477,5.535109227707394
1114,1,16,1053.0,1058.7858153041323,10.585815304132252,4.234326121652903
1116,1,4,1038.0,1041.6106680051369,8.410668005136888,3.364267202054757
1123,1,6,1037.0,1042.9874598709484,10.787459870948473,4.314983948379391
1136,1,17,1041.0,1048.9003310896462,12.700331089646232,5.080132435858495
1141,0,21,458.0,467.13252945536067,13.932529455360676,5.573011782144273
1143,0,23,442.0,450.8589997098259,13.65899970982591,5.4635998839303666
1145,1,20,1269.0,1275.4402340984961,11.240234098496098,4.496093639398441
1146,1,21,1034.0,1039.9192278771056,10.719227877105755,4.287691150842304
1147,0,3,475.0,484.5598005411716,14.359800541171607,5.743920216468646
1148,1,15,1079.7523403061225,1086.4970011503033,11.54466084418081,4.617864337672326
1149,1,14,1063.007704489796,1070.3087511480355,12.101046658239467,4.840418663295789
1150,0,9,429.0,437.6691295587319,13.469129558731925,5.387651823492773
1152,1,18,1030.0,1032.654355365238,7.454355365237866,2.981742146095148
1155,1,9,1076.3622490612245,1083.3583123445187,11.796063283294288,4.718425313317717
1164,1,13,1055.0,1058.2764814882423,8.076481488242232,3.230592595296894
1166,1,21,1076.0,1079.2850605262831,8.085060526283241,3.234024210513298
1168,1,5,1040.0,1046.445351680278,11.245351680277981,4.4981406721111945
1174,0,7,975.0,984.3833806876287,14.18338068762867,5.673352275051471
1177,1,19,1038.0,1047.06023007529,13.860230075290167,5.54409203011607
1182,1,10,1064.0,1069.3432433359678,10.143243335967808,4.057297334387125
1184,0,16,459.0,468.1274792204087,13.927479220408692,5.570991688163479
1185,1,22,1213.0,1215.6417032933243,7.441703293324384,2.976681317329755
1190,1,17,1323.7500589285714,1328.536224251934,9.586165323362751,3.834466129345102
1199,0,23,427.0,436.0006592581333,13.800659258133312,5.5202637032533275
1200,1,3,1043.0,1052.0490538895328,13.849053889532872,5.539621555813151
1207,0,23,537.0,543.5959723389233,11.395972338923306,4.558388935569324
1209,0,16,458.0,465.9789587516442,12.778958751644211,5.111583500657687
1216,1,14,1040.8009697959183,1045.1715793461312,9.170609550213092,3.6682438200852383
1217,1,23,1000.0,1002.8351166225859,7.635116622585974,3.054046649034391
1219,1,16,1039.0,1046.4957587102874,12.295758710287371,4.918303484114951
1222,1,15,1052.0,1057.1042084455385,9.904208445538476,3.961683378215392
1225,0,11,470.0,477.7211586550434,12.521158655043372,5.008463462017351
1229,1,6,1050.0,1055.3004748810108,10.100474881010765,4.040189952404308
1230,0,10,428.0,437.59782043310474,14.39782043310475,5.759128173241902
1231,1,10,1225.0,1227.6620742074795,7.462074207479441,2.9848296829917778
1239,1,24,1180.3603545142857,1186.186508441705,10.626153927419278,4.250461570967713
1243,1,11,1042.0,1047.0329719684098,9.832971968409739,3.9331887873638975
1246,0,3,453.0,459.80293370075765,11.602933700757657,4.641173480303065
1250,1,13,1034.0,1042.4567245358462,13.256724535846288,5.3026898143385175
1256,1,7,718.0,722.189185088883,8.989185088883064,3.5956740355532273
1259,0,15,463.6114530204082,472.48529475240065,13.673841731992443,5.4695366927969795
1263,0,2,447.0,456.1862389540961,13.986238954096091,5.594495581638439
1265,1,16,1041.0,1050.3647364897543,14.164736489754226,5.665894595901693
1270,1,9,1033.0,1035.6242279278276,7.42422792782769,2.9696911711310774
1276,0,1,433.0,442.06488780556055,13.864887805560562,5.545955122224227
1278,1,21,1055.6023921632652,1061.9687785359533,11.166386372688153,4.466554549075264
1287,1,13,1058.3657778285715,1063.2652192423807,9.699441413809122,3.8797765655236507
1291,0,10,1058.0,1067.1078707919105,13.907870791910419,5.56314831676417
1296,1,14,687.8004848979592,693.0282278067671,10.027742908807873,4.011097163523151
1298,1,10,1041.756977142857,1047.9346560868075,10.977678943950464,4.391071577580187
1300,1,23,1062.0,1065.8761638071458,8.676163807145805,3.4704655228583237
1301,1,15,1053.616296612245,1061.9814493834497,13.165152771204756,5.266061108481905
1316,0,8,448.0089706122449,457.59555427554704,14.386583663302137,5.7546334653208575
1318,1,2,1028.3505663877552,1037.7279920532042,14.177425665448972,5.670970266179592
1321,1,22,1051.0085934693877,1055.1027227784873,8.89412930909967,3.5576517236398697
1322,0,12,485.0,492.3285460860079,12.128546086007933,4.851418434403175
1328,0,14,431.0,439.5764132582087,13.376413258208663,5.350565303283467
1332,1,17,1051.7539229591837,1060.1517722138499,13.197849254666284,5.279139701866516
1335,0,14,435.0,444.4461296980308,14.24612969803082,5.698451879212331
1337,0,16,451.0,459.38929290519604,13.189292905196062,5.275717162078427
